球员名,英文名,球员ID,位置,身高cm,体重kg,年龄,出生日期,国籍,号码,臂展,手长,手宽,原地摸高,最大弹跳摸高,照片URL,球队
赵婧涵,Zhao Jinghan,76061,PF,185,73,20,2006-03-18,中国,1,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/76061.png,
钱媛媛,Qian Yuanyuan,30097,PG,165,60,20,2006-02-01,中国,3,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/30097.png,
贾晋文,Jia Jinwen,31999,C,192,93,22,2004-02-19,中国,4,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/31999.png,
蔡雨昕,Cai Yuxin,92972,SG,168,66,22,2004-02-17,中国,5,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/92972.png,
安恒瑶,An Hengyao,30230,C,190,115,20,2005-10-28,中国,6,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/30230.png,
罗巧梅,Luo Qiaomei,80548,PG,173,68,22,2003-07-12,中国,7,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200267/80548_2491.png,
王斯瑶,Wang Siyao,80549,SG,170,64,23,2002-03-30,中国,8,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/80549.png,
王乔睿,Wang Qiaorui,32001,SG,178,75,21,2004-09-28,中国,9,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/32001.png,
伍湘琳,,80550,PG,171,70,24,2002-01-20,中国,4,171,17,8,214,290,https://k8-oss.cbastats.com/player-profile/20005/200406/80550.png,
王家绘,Wang Jiahui,32005,SF,183,80,23,2002-06-19,中国,11,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/32005.png,
冯蔡依曼,Feng Caiyiman,92136,C,190,91,21,2005-02-10,中国,12,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/92136.png,
李美潼,,32006,PF,186,82,23,2002-05-17,中国,13,185,20,9,235,309,https://k8-oss.cbastats.com/player-profile/20005/200406/32006.png,
王雨桐,Wang Yutong,32013,C,183,130,22,2004-03-09,中国,16,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/32013.png,
陈怡静,Chen Yijing,80546,PF,187,76,23,2003-01-17,中国,21,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/80546.png,
李若莹,Li Ruoying,32012,SG,186,70,23,2003-01-31,中国,31,,,,,,https://k8-oss.cbastats.com/player-profile/20005/200406/32012.png,
